   1       0   92.833572 -87.808452   6934.85
   2       1  142.768928 -87.209042   6752.64
   3       2   59.493390 -87.933791   6715.06
   3       4   64.288240 -87.995108   6703.73
   3       3   58.533468 -88.027080   6702.64
   3   16784   71.284586 -88.077056   6472.15
   3   16655   52.373402 -88.231145   6421.46
   4       5   89.349771 -85.594075   6821.57
   5       6   33.359506 -86.207255   6967.02
   6       7   50.058074 -85.024325   6976.11
   7       8   94.940097 -83.411469   6540.16
   8       9   89.816795 -83.055388   6804.71
   8   16820   91.312058 -83.232471   6604.32
   8   16819   91.439984 -83.273107   6600.28
   8   16801   93.494559 -83.170976   6429.17
   8   16802   92.771720 -83.200643   6176.40
   9      10   73.796663 -81.060096   6844.27
  10      11   78.840331 -80.142522   6832.76
  11      12   62.867063 -78.850887   6864.35
  12      13   22.075932 -82.133774   6942.65
  12      14   21.923548 -82.109708   6926.09
  13      15   17.354646 -79.535939   6867.49
  14      16   20.546014 -79.626019   6987.72
  15      17   25.000467 -78.711525   6946.13
  16      18   66.696928 -79.037552   6759.86
  16   16887   67.014570 -79.265260   6487.59
  16   16893   66.451500 -79.500630   6253.86
  17      19   75.622705 -75.606064   6981.01
  18      20   79.631074 -73.959754   6969.19
  19      21  179.428073  -4.314860   6791.00
  20      22  179.664282  -4.144156   6790.83
  21      23  180.200443  -3.793665   6772.97
  22      24  183.749481  -1.578850   6973.27
  22      25  183.491309  -1.602806   6716.55
  22   17211  183.425729  -1.755567   6564.09
  23      26  184.096923  -0.878992   6701.15
  23      29  183.943622  -1.096617   6559.09
  23      30  184.000075  -0.627117   6850.74
  23      27  183.829601  -1.040908   6611.12
  23      28  183.781062  -1.069844   6697.47
  24      31  184.186410  -0.028154   6444.19
  24   17191  184.129178   0.030458   6372.22
  24      32  184.256142   0.006028   6432.95
  24   17180  183.896175   0.109706   6473.85
  24   17188  184.489886   0.165518   6190.80
  24   17186  184.516363  -0.043556   6323.38
  24      33  183.696624   0.180050   6486.43
  24   17527  184.794118   0.227468   5910.60
  24   17222  184.425520   0.372601   6063.90
  24   17189  184.530417   0.131592   6114.91
  24   17192  184.413356   0.420958   6286.28
  24   17187  184.693785   0.028564   6401.71
  24   17185  184.727046   0.086391   6433.96
  24   17183  184.691767  -0.014296   6405.46
  24   17182  184.689937   0.023250   6384.76
  24   17190  184.728935  -0.067331   6530.73
  24   17214  183.612373  -0.085870   6511.61
  24   17184  184.829360  -0.209415   6406.87
  25      34  185.656371   1.447515   6919.16
  25      43  185.456072   1.616029   6784.73
  25      40  185.601277   1.499423   6737.32
  25      39  185.659597   1.444499   6954.16
  25      38  185.633570   1.470930   6685.54
  25      37  185.636060   1.253689   6971.12
  25      36  185.597907   1.455061   6747.55
  25      35  185.634556   1.460436   6849.95
